objectid,filename,title,publisher,creator,date,description,format,genre,medium,subject,location,latitude,longitude,language,is_part_of,collection,source,object_location,reference_url,rights,rightsstatement,parentid
j_morgan_008,reefer_english.pdf,Recollections of a Rebel Reefer,Constable and Company LTD,James Morris Morgan,1918,English edition of a book written by James Morris Morgan that details his life from his service in the Confederate Army to his role in the Egyptian Army.,application/pdf,memoir,book,James Morris Morgan; William Wing Loring; Charles Pomeroy Stone; Henry Hopkins Sibley; Alexander Welch Reynolds; Frank A. Reynolds; Thaddeus Phelps Mott; Erastus Sparrow Purdy; Charles Chaille-Long; Alexander Macomb Mason; Thomas Grimke Rhett; Vanderbilt Allen; Walter Hanson Jenifer; Beverly Kennon; William H. Ward; William P. A. Campbell; William W. Dunlap; Cornelius E. Hunt; Edmund Parys,"London, UK",51.5072,0.1276,English,,,,,https://books.google.com/books/about/Recollections_of_a_Rebel_Reefer.html?id=g5pNAQAAMAAJ&printsec=frontcover&source=kp_read_button&hl=en#v=onepage&q&f=false,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by the University of Idaho Library. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department.",http://rightsstatements.org/vocab/NoC-US/1.0/,j_morgan
c_stone,,Charles Pomeroy Stone,,,,,compound_object,,,Charles Pomeroy Stone,,,,,,,,,,,,
c_stone_001,The_Climate_of_the_Egyptian_Sudan.pdf,The Climate of the Egyptian Sudan,Science Magazine,Charles Pomeroy Stone,1885,Article published by Charles Pomeroy Stone that details the temperature and climate of different parts of Egypt.,application/pdf,geography,article,Charles Pomeroy Stone,,,,English,,,,,https://doi.org/10.1126/science.ns-5.113.268.b,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by the University of Idaho Library. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department.",http://rightsstatements.org/vocab/NoC-US/1.0/,c_stone
c_stone_002,stone_egypt.jpg,Brigadier General Charles P. Stone,,unknown,,Photograph of Charles Pomeroy Stone wearing Egyptian Army Full Dress uniform taken in a studio.,image/jpg,portrait,photograph,Charles Pomeroy Stone,"Cairo, Egypt",30.033333,31.233334,,,,,,,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by the University of Idaho Library. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department.",http://rightsstatements.org/vocab/NoC-US/1.0/,c_stone
c_stone_003,stone_union.png,untitled,,unknown,,Photograph of Charles Pomeroy Stone wearing United States Army uniform taken in a studio in America during the Civil War.,image/png,portrait,photograph,Charles Pomeroy Stone,,,,,,,,,https://loc.gov/pictures/resource/cwpb.04847/,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by the University of Idaho Library. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department.",http://rightsstatements.org/vocab/NoC-US/1.0/,c_stone
c_stone_004,stone_egypt2.jpeg,untitled,O. Schoefft,unknown,1877,"Photograph of Charles Pomeroy Stone wearing Egyptian Army Full Dress uniform taken in a studio in Cairo, Egypt.",image/jpg,portrait,photograph,Charles Pomeroy Stone,"Cairo, Egypt",30.033333,31.233334,,,,,,https://finding-aids.lib.unc.edu/00432/#imagefolder_11#1,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by the University of Idaho Library. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department.",http://rightsstatements.org/vocab/NoC-US/1.0/,c_stone
c_stone_005,Suakin_Berber.pdf,The Route from Suakin to Berber,Science Magazine,Charles Pomeroy Stone,1885,Description of a route in Africa explored by Henry Gosless Prout.,application/pdf,geography,article,Charles Pomeroy Stone; Henry Goslee Prout,,,,English,,,,,https://www.jstor.org/stable/1761487,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by the University of Idaho Library. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department.",http://rightsstatements.org/vocab/NoC-US/1.0/,c_stone
c_stone_006,stone_egypt3.jpeg,Stone Pasha,Hutchinson and Co.,unknown,,Photograph of Charles Pomeroy Stone wearing Egyptian Army Full Dress uniform.,image/jpg,portrait,photograph,Charles Pomeroy Stone,,,,,,,,,,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by the University of Idaho Library. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department.",http://rightsstatements.org/vocab/NoC-US/1.0/,c_stone
c_stone_007,Political_Geography_of_Egypt.pdf,The Political Geography of Egypt,Journal of the American Geographical Society of New York,Charles Pomeroy Stone,1883,Overview of Charles Pomeroy Stone's experience in Egypt and the political state of the country during and after his service.,application/pdf,lecture,article,Charles Pomeroy Stone,,,,English,,,,,https://www.jstor.org/stable/196547,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by the University of Idaho Library. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department.",http://rightsstatements.org/vocab/NoC-US/1.0/,c_stone
c_stone_008,Bombardment_Alexandria.pdf,The Bombardment of Alexandria,The Century Illustrated Monthly Magazine,Charles Pomeroy Stone,1884,The personal experience of Charles Pomeroy Stone during the Bombardment of Alexandria.,application/pdf,open letter,article,Charles Pomeroy Stone,"New York, NY, USA",40.73061,-73.935242,English,,,,,,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by the University of Idaho Library. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department.",http://rightsstatements.org/vocab/NoC-US/1.0/,c_stone
